sensor_number,segment_length,m,t,b,r2
1,9500,-1246.2743512585562,0.00019648730507825928,2480.4412448683297,0.9935536138292456
2,9000,-1761.8133791907048,0.00019890362235120248,3678.0933259200756,0.996361628080882
3,8700,-5308.809383331108,0.0006426382030122979,7184.504423459169,0.997374384869331
4,8700,-5614.506604637422,0.0006316841631987134,7657.3256345177415,0.9974022428743262
5,8700,-1094.1909635645845,0.0008144117714876807,2805.5136310766816,0.9974301367082347
6,8700,-950.2683665765261,0.0009386913845182802,3183.8622990134363,0.9958945552175943
7,8700,-5852.536211093734,0.0008697125167402955,8435.615753040249,0.9973906806098523
8,8700,-5767.538556735068,0.0008390460223391656,8669.352071292076,0.9980826302455912
9,8700,-16.571049208283345,0.00040835617505165884,228.32585699696153,0.265825125942312
10,8700,-90.27914153402472,0.00015017195309785354,359.35527865888884,0.8769447683419712
11,8700,-4875.553301832732,0.0005964128982486722,6951.401657718564,0.9978010919071559
12,8700,-3886.1864359392575,0.0006385625604248536,5793.221412650298,0.9983577480103099
13,8700,-286.8439168946513,0.0008812965508979903,1303.6061733080167,0.9796521766281059
14,8700,-327.74846387727405,0.0007834408605876148,1353.939322829822,0.9857432728084169
15,8700,-5073.160659476438,0.0007514354173638783,7852.759706207411,0.9984806486723815
16,8700,-3923.839173328491,0.0008388304380632057,6140.620372652253,0.9979347951197824
