sensor_number,from_index,to_index,segment_length,m,t,b,r2
1,63000,72000,9000,951.6039787384954,0.00021886408456335438,1249.6039499360365,0.9982210365200577
2,63000,72000,9000,1379.3137732538228,0.00020631997054127606,1900.46215318007,0.9987658945505484
3,62000,72000,10000,4707.256314760033,0.00039902025499942434,2088.274722949663,0.999540451483432
4,62000,72000,10000,5024.978438900498,0.00038932630033189727,2281.506393706595,0.9995968270542569
5,62000,72000,10000,1128.1073770151218,0.0004548672757653817,1476.175169880588,0.9985395028711861
6,62000,72000,10000,1005.4055078262636,0.0005107881855162426,1952.6382627373919,0.9982601398591212
7,62000,72000,10000,5219.683251660206,0.0004848671747277892,2328.409800409022,0.9987578644649653
8,62000,72000,10000,5253.992586191844,0.0004818866609818322,2446.1944450625033,0.9986184919009347
9,62000,72000,10000,36.07136257322563,0.0001889677191014843,195.8804836308336,0.6099124653035601
10,62000,72000,10000,113.75922749738277,0.00011347116771916138,228.3185869218004,0.9147900220706923
11,62000,72000,10000,4492.909995326437,0.00035647174771562615,2224.851188836501,0.9996216572291903
12,62000,72000,10000,3689.976990191587,0.00037866363516333485,1839.4581275934047,0.9996291164715323
13,62000,72000,10000,342.18113207907226,0.0003780163500211117,907.8124433818438,0.9903604606440292
14,62000,72000,10000,381.03113706768266,0.00038008647203834203,919.4414744238426,0.9925113539495259
15,62000,72000,10000,4616.856478401782,0.0004281642377899276,2457.8355388848768,0.9987962247931974
16,62000,72000,10000,3624.8757312682724,0.00045198176349845387,1865.3673071000555,0.9988497933433812
