sensor_number,m,t,b,r2
1,0.58015014399336,7.60740496853134e-05,0.07391685768959172,0.9947097915651961
2,0.12071675319796749,6.285980159509965e-05,0.0020024307028743524,0.9945198406398951
3,0.5362604811283139,0.0004195068985512717,0.25564957685948964,0.999770554902999
4,0.5404370390052025,0.00040343388526383237,0.25530322793392946,0.9996735131844338
5,0.3823037703088157,0.0004881712410775049,0.5197941915261701,0.9991128337572011
6,0.28135177076050155,0.0005437116219009363,0.5685644303224461,0.9989169609601546
7,0.5200013279402559,0.0005308245141400437,0.253204475502936,0.9997324552783109
8,0.4918237369053388,0.0005303934703294724,0.2493772209611459,0.9996941479426118
9,0.0006474380058276205,0.00020171211910976027,0.000672108672958531,0.5203822860620182
10,0.00424015536223492,5.146653821825457e-05,-0.0017561351320605208,0.8537018209821157
11,0.5116643922980016,0.0003611547018427264,0.15769291344935232,0.9995313400509751
12,0.41285919573965046,0.00038748435517594026,0.11293969427787545,0.9996195924641164
13,0.014098912925806418,0.00040200584765261047,0.012795623792414576,0.9899675149133979
14,0.018077973352370623,0.0004070898565686778,0.012318266765070869,0.9923488877536419
15,0.44776425196431674,0.00047377840343094377,0.2052844282250182,0.9997325605806977
16,0.4831408887618348,0.0004957400832871265,0.20210100677408838,0.999718773525262
